"","AgeGroup","Age","Gender","EducationLevel","EducInd","AverageIncome"
"1","15 to 24 years","20","Male","No certificate, diploma or degree","2",28048
"2","15 to 24 years","20","Male","No certificate, diploma or degree","2",29496
"3","15 to 24 years","20","Female","No certificate, diploma or degree","2",20719
"4","15 to 24 years","20","Female","No certificate, diploma or degree","2",22320
"5","25 to 34 years","30","Male","No certificate, diploma or degree","2",43151
"6","25 to 34 years","30","Male","No certificate, diploma or degree","2",39159
"7","25 to 34 years","30","Female","No certificate, diploma or degree","2",29946
"8","25 to 34 years","30","Female","No certificate, diploma or degree","2",29323
"9","35 to 44 years","40","Male","No certificate, diploma or degree","2",52084
"10","35 to 44 years","40","Male","No certificate, diploma or degree","2",45086
"11","35 to 44 years","40","Female","No certificate, diploma or degree","2",34831
"12","35 to 44 years","40","Female","No certificate, diploma or degree","2",30972
"13","45 to 54 years","50","Male","No certificate, diploma or degree","2",55982
"14","45 to 54 years","50","Male","No certificate, diploma or degree","2",46544
"15","45 to 54 years","50","Female","No certificate, diploma or degree","2",36661
"16","45 to 54 years","50","Female","No certificate, diploma or degree","2",32859
"17","55 to 64 years","60","Male","No certificate, diploma or degree","2",54818
"18","55 to 64 years","60","Male","No certificate, diploma or degree","2",45884
"19","55 to 64 years","60","Female","No certificate, diploma or degree","2",37015
"20","55 to 64 years","60","Female","No certificate, diploma or degree","2",34049
"21","65 to 74 years","70","Male","No certificate, diploma or degree","2",41475
"22","65 to 74 years","70","Male","No certificate, diploma or degree","2",43791
"23","65 to 74 years","70","Female","No certificate, diploma or degree","2",32080
"24","65 to 74 years","70","Female","No certificate, diploma or degree","2",32977
"25","75 years and over","75+","Male","No certificate, diploma or degree","2",30379
"26","75 years and over","75+","Male","No certificate, diploma or degree","2",100912
"27","75 years and over","75+","Female","No certificate, diploma or degree","2",21385
"28","75 years and over","75+","Female","No certificate, diploma or degree","2",44942
"29","15 to 24 years","20","Male","Secondary (high) school diploma or equivalency certificate","3",32597
"30","15 to 24 years","20","Male","Secondary (high) school diploma or equivalency certificate","3",28657
"31","15 to 24 years","20","Female","Secondary (high) school diploma or equivalency certificate","3",24790
"32","15 to 24 years","20","Female","Secondary (high) school diploma or equivalency certificate","3",23475
"33","25 to 34 years","30","Male","Secondary (high) school diploma or equivalency certificate","3",50712
"34","25 to 34 years","30","Male","Secondary (high) school diploma or equivalency certificate","3",42267
"35","25 to 34 years","30","Female","Secondary (high) school diploma or equivalency certificate","3",38067
"36","25 to 34 years","30","Female","Secondary (high) school diploma or equivalency certificate","3",33730
"37","35 to 44 years","40","Male","Secondary (high) school diploma or equivalency certificate","3",63742
